_blov_ = [
hurries	rapidas	v.ntr	
quick	rapida	adj.	w
swift	rapida	adj.	w
quickly	rapide	adv.	w
swiftly	rapide	adv.	w
hurrying	rapidanta	adj.	
rapidly	rapide	adv.	w
moves faster	rapidiĝas	v.ntr	
swifter and swifter	pli kaj pli rapide	adv.	
slow	malrapida	adj.	w
slowing down	malrapidiĝante	adv.	
slowly	malrapide	adv.	
did wax somewhat slow	iomete malrapidis	phr.	
]

_rilat_ = [
affect	rilati	v.tr.ntr be connected to, related to, entailed by	
relate to	rilati	v.tr.ntr	
make reference to	rilati	v.tr.ntr (+al)	
have a connection with	rilati	v.tr.ntr (+al)	
concern	rilati	v.tr.ntr is related to	
be entailed by	rilati	v.tr.ntr	
had much to do with	tre rilatis al	phr.	
]

_ven_ = [
come	veni	v.ntr	w
come on	venu	v.ntr	w
came	venis	v.ntr	w
have come	venis	v.ntr	w
gather	kunveni	v.ntr	w
meeting	kunveno	n.	
roll up	alveni	v.tr	
come out	elveni	v.ntr	
return	reveni	v.ntr	
closing in	alvenanta	adj.	
to be back	reveninta	phr. to have returned	
come down	veni malsupren	phr.	w
unwelcome	malbonvena	adj.	w
am come	estas veninta	phr.	w
coming	alveno	n. arrival	w
would come	venus	v.ntr	w
came out	elvenis	v.ntr	w
was to come	estis venonta	phr.	s
]

_konven_ = [
appropriate	konvena	adj.	w
fitting	konvena	adj.	w
seemly	konvena	adj.	w
well-suited	konvena	adj.	s
becomes	konvenas	v.ntr (+al) is well suited to in an enhancing way	
]

_fest_ = [
celebrate	festi	v.tr	
celebration	festo	n.	w
festive	festa	adj.	w
party	festo	n.	
Candlemas	Kandelfesto	n.	w
]

_festen_ = [
feast	festeni	v.ntr attend a party	w
feast	festeno	n.	
have a party	festeni	v.ntr	s
make merry	festeni	v.ntr	w
dinner party	festeno	n.	
gala	festeno	n.	
attend a party	festeni	v.ntr	s
banquet	festeno	n.	
]

_okaz_ = [
happen	okazi	v.ntr	w
instance	okazo	n.	
occasion	okazo	n.	w
opportunity	okazo	n.	w
took place	okazis	v.ntr	w
affair	okazaĵo	n. event	w
anyhow	ĉiaokaze	adv.	w
at any rate	ĉiuokaze	adv.	w
may it happen	ĝi okazu	phr. expression of hope that it happens	
it chanced	hazarde okazis	phr. it happened to occur	
]

_sovaĝ_ = [
wild	sovaĝa	adj.	w
wilderness	sovaĝejo	n.	
wildly	sovaĝe	adv.	
wilds	sovaĝejo	n. wilderness	
savage	sovaĝa	adj.	w
ferocity	sovaĝeco	n.	w
wildest	plej sovaĝa	adj. 	w
]

_rid_ = [
laugh	ridi	v.ntr	w
smile	rideti	v.ntr	w
smirk	rideti	v.ntr	w
smile	rideto	n.ntr	w
snicker	subridi	v.ntr	
snicker	klukridi	v.ntr	w
snicker	subridaĉi	v.ntr	
laugher	ridanto	n.	w
laughter	ridado	n.	
ludicrous	ridindeco	n. ridiculousness	
ridiculous	ridinda	adj.	
sniggering	ridaĉado	n.	
titter	klukridi	v.ntr	w
titter	subridaĉi	v.ntr	w
titter	subridi	v.ntr	w
tittering	subridado	n.	
funny	ridinda	adj. worthy  of mocking	
giggle	klukridi	v.ntr	w
giggle	subridaĉi	v.ntr	w
giggle	subridi	v.ntr	w
smiles	ridetas	v.ntr	w
smiling	ridetante	adv.	w
sly smile	subrideti	v.ntr	s
with a smile	ridetante	adv.	s
frowning	malridetante	adv.	
]

_hav_ = [
have	havi	v.tr	w
hold	havi	v.tr	
got	havas	v.tr	
has	havas	v.tr	
have	havas	v.tr	w
haven’t	ne havas	phr.	
had	havis	v.tr	
make available	havigi	v.tr	
had	havinta	adj.	
of	havanta	adj.having	
having	havante	adv.	
provide	havigi	v.tr	
contain	enhavi	v.tr	w
caught	ekhavita	adj. as in a disease was caught	
share	kunhavigi	v.tr	
sharer	kunhavanto	n.	w
had I	se mi havus	phr.	s
indispensable	nemalhavebla	adj.	w
]

_ŝat_ = [
like	ŝati	v.tr	
value	ŝati	v.tr to value	
fond	ŝata	adj.	w
appreciate	ŝati	v.tr to appreciate	
appreciated	ŝatata	adj.	
much liked	ŝatata	adj.	
cherished	ŝatita	adj.	w
best liked	plej ŝatata	adj.	
favorite	plej ŝatata	adj.	
]

_trov_ = [
find	trovi	v.tr	w
found	trovis	v.tr	w
be found	troviĝi	v.ntr	
be findable	trovebli	v.ntr	
newfound	nove trovita	adj.	w
just chanced to be	hazarde troviĝis	phr.	
]

_mank_ = [
miss	manki	v.ntr	w
be lacking	manki	v.ntr	
be missed	manki	v.ntr	
be missing	manki	v.ntr	
be needed	manki	v.ntr	
defect	manko	n.	
lack	manko	n.	w
missing part	manko	n.	
]

_obe_ = [
