agreeable	simpatia	adj. of people	
compatible	simpatia	adj. of people	
sympathetic	simpatia	adj.	
sympathise	simpatii	v.tr	
sympathy	simpatio	n.	
would sympathise	simpatius	v.	


***************


horror	hororo	n. feeling of terror with disgust 	w
horrible	horora	n. causing horror	w
temperament	temperamento	n. 	w
boldly	aŭdace	adv. 
silly	facilanima	adj. light-hearted 	w

be shy	sin ĝeni	v. 	

unselfconscious	nememkonscia	adj.	w

jovial	joviala	adj.	w

miserable	mizera	adj.	w

pleased	kontenta	adj.	w

affection	korinklino	n. 	w
mooned	tag'revis obsede	lit. daydreamed obsessively 	w
audacity	aŭdaco	n. 	w

depressed	deprimita	adj.	
depressing	nigra	adj. sentiments attitudes	
depression	depresio	n. clinical depression	
depression	deprimo	n. sub-clinical depression	

whine	plor'grinco	n. crying squeak	
sob	ploregi	v.ntr	w

remorse	bedaŭro	n.	w
remorse	pento	n.	w
remorse	rimorso	n.	w

anxiety	anksio	n. moderate anxiety, level-2	w
anxious	anksia	adj.	w

frenzied	freneza	adj.	w
fervently	fervore	adv.	w

embarrassment	embaraso	n.	w
shameless	senhonta	adj.	w
am ashamed	hontas	v.tr	w
shamefully	hontinde	adv.	

on edge	kvazaŭ sur rando	phr. idiom	w


bewildered	perpleksa	adj.	w

light-heartedly	facilanime	easy-going, lit. easy-souled	
lighthearted	facilanima	adj.	
lighthearted	malpeze kora	*	

ecstatic	ekstaza	adj.	
ecstasy	ekstazo	n,	w


thrill	eksciti	v.tr   	w

jealous	ĵaluza	adj.	
envy	envii	v.	
envy	envio	n. 	
resentment	rankoro	n. 
affect	emocio	n. an emotion 	
bored	enua	adj. 	
overwrought	superfortita	adj. 	
clearheaded	klarkapa	adj. 	w
dull	enuiga	adj. boring 	
enthusiasm	entuziasmo	n. 	w
eagerness	entuziasmo	n. 	
fondly	ame	adv. 	

distraught	angora	adj. EMOTION	w
vindictive	venĝema	adj. EMOTION	w
fury	furiozo	n. EMOTION	w
with joy	ĝoje	adv. EMOTION
reticence	malemeco	n. EMOTION	w
poignant	kortuŝa	adj. EMOTION	w
avid	avida	adj. EMOTION	w
