## FROM WIKTIONARY
## https://en.wiktionary.org/wiki/Appendix:Esperanto_forms_of_English_given_names

## English Masculine Names
Aaron	Aarono
Ash	Aŝjo
Billy	Viljo, Beljo
Cass	Kasjo
Charley	Karjo
Sid	Sidjo, Cidjo
Dan, Danny	Danjo
Jo	Jojo
Joss	Jozjo
Ken	Kenjo, Makjo
Lex	Alejo, Leksjo
Liv	Olivjo, Livjo
Mac	Makjo
Max	Maksjo
Mel	Meljo
Oli	Olijo
Rey, Ray	Rajo
Rob	Robjo
Sam	Samjo
Sandy	Sandro, Sandjo
Stef	Stefjo
Theo	Tejo
Vic	Vikjo

## Common Surnames in the United States

JOHNSON	JOHANSON, JOHANIDO
WILLIAMS	VILIAMSO, VILHELMSO, VILHELMIDO
JONES	JONESO
BROWN	BRAŬNO, BRUNO
DAVIS	DAVIZO
MILLER	MILERO, MUELISTO
WILSON	VILSONO, VILIDO
MOORE	MORO
TAYLOR	TAJLORO
ANDERSON	ANDERSONO, ANDERIDO
THOMAS	TOMASO, TOMASIDO
JACKSON	JAKSONO, JOĈJIDO
WHITE	VAJTO, VITO, BLANKO
HARRIS	HARRISO
MARTIN	MARTENO, MARTINO
THOMPSON	TOMPSONO, TOMPIDO
GARCIA	GARCIO
MARTINEZ	MARTINEZO
ROBINSON	ROBINSONO, ROBINIDO
CLARK	KLARKO
RODRIGUEZ	RODRIGUEZO
LEWIS	LEVISO, LODOVIKO
LEE	LIO
WALKER	VALKERO, FULISTO, INSPEKTORO, INSPEKTISTO
HALL	HALO
ALLEN	ALENO
YOUNG	JUNGO, PLIJUNA
HERNANDEZ	HERNANDEZO
KING	KINGO, REĜO
WRIGHT	VRAJTO, VRITO, ĈARPENTISTO
LOPEZ	LOPEZO
HILL	HILO
SCOTT	SKOTO
GREEN	GRINO, VERDO
ADAMS	ADAMZO, ADAMIDO
BAKER	BAKERO, BAKISTO
GONZALEZ	GONZALEZO
NELSON	NELSONO, NELIDO
CARTER	CARTER, VAGONISTO
MITCHELL	MIĈELO
PEREZ	PEREZO
ROBERTS	ROBERTSO
TURNER	TURNERO
PHILLIPS	FILIPSO, FILIPIDO
CAMPBELL	KAMPBELO
PARKER	PARKERO, PARKISTO
EVANS	EVANZO, EVANIDO
EDWARDS	EDVARDSO, EDVARDIDO
COLLINS	KOLINZO, KOLINIDO
STEWART	STEVARTO
SANCHEZ	SANĈEZO
MORRIS	MORISO
ROGERS	ROĜERSO, ROĜERIDO
REED	RIDO
COOK	KUKO, BAKISTO
MORGAN	MORGANO
BELL	BELO, SONORISTO
MURPHY	MURFIO
BAILEY	BAJLIO, BAJLEJO
RIVERA	RIVERO
COOPER	KUPERO, KORBISTO
RICHARDSON	RIKARDSONO, RIKARDIDO
COX	KOKSO
HOWARD	HOVARDO
WARD	VARDO
TORRES	TORESO
PETERSON	PETROSONO, PETRIDO
GRAY	GRAJO, GREO, GRIZA
RAMIREZ	RAMIREZO
JAMES	JAMESO, JAKOBIDO
WATSON	VATSONO, VATIDO
BROOKS	BRUKSO, BRUKIDO
KELLY	KELIO, KELEJO
SANDERS	SANDERSO, SANDERIDO
PRICE	PRICO
BENNETT	BENETO
WOOD	VUDO
BARNES	BARNESO
ROSS	ROSO
HENDERSON	HERNDERSONO, HENDERIDO
COLEMAN	KOLMANO, KARBISTO
JENKINS	JENKINZO
PERRY	PERIO
POWELL	POVELO
LONG	LONGO
PATTERSON	PATERSONO, PATERIDO
HUGHES	HUGESO, HUGIDO
FLORES	FLORESO
WASHINGTON	VAŜINGTONO
BUTLER	BUTLERO, SERVISTO
SIMMONS	SIMONZO, SIMONIDO
FOSTER	FOSTERO
GONZALES	GONZALEZO
BRYANT	BRIANTO
ALEXANDER	ALEKSANDRO
RUSSELL	RUSELO
GRIFFIN	GRIFINO, GRIFO
DIAZ	DIAZO
